EP01: IN
EP01: はあ？ | 啊？
EP12: なんかのぼせてきた　出るべ | 泡得头有点晕了 出去吧
EP12: 露天のわりに壁が高くて | 一个露天温泉却修这么高的墙
EP12: 景色見れなかったのが残念だったかなあ | 看不到周围的风景真可惜
EP12: 先客がいましたか | 原来已经有人了
EP12: こりゃまた　べっぴんさんじゃないか | 还是一位年轻貌美的小姑娘
EP12: ちょ　何 | 你们干嘛
EP12: しつこいぜ　オカルン | 你真缠人啊 超然仔
EP12: でもガッツは認めるよ | 但我认同你的毅力了
EP12: まだまだ　諦めませんから | 还没完 我不会放弃的
EP12: ヘイ　友情握手しようぜ | 算了 来个友好的握手吧
EP12: いい　でしょう | 好吧
EP12: もらった　おらあ | 得手啦
EP12: このクソだらあ | 你这卑鄙小人
EP12: こんなズルいの綾瀬さんは絶対嫌いですから | 你这样耍赖 肯定会被绫濑同学讨厌的
EP12: 負けを認めなさい　オカルン君 | 快认输吧 超然仔
EP12: ヤダ　諦めてたまるか | 不要 我死也不认输
EP12: オカルン君 | 超然仔
EP12: ジジさんストップ　あれ見てください | 小寺暂停 你看那边
EP12: 何が | 看什么
EP12: あれです　あれ | 就是那边
EP12: あそこ　おかしくないですか | 你不觉得哪里不对劲吗
EP12: 玄関の隣　あんなとこに部屋なんかなかったですよね | 玄关旁边应该没有房间吧
EP12: お嬢ちゃん　若いのに一人で混浴 | 小姑娘 这么年轻敢一个人来泡混浴啊
EP12: いや　読めねえわ | 那谁看得清啊
EP12: 熱い | 好烫
EP12: こりゃビールがうまいわ | 要是有啤酒就爽了
EP12: いいねえ | 舒服了
EP12: 極楽 | 太棒了
EP12: 全然気付かなかった | 我完全没注意到
EP12: 確かに　外から見たら出っ張ってたのに | 的确 从外面看这里是凸出去的
EP12: ここに何かないとおかしいね | 这里一定有猫腻
EP12: 空洞ですよ | 里面是空的
EP12: ヤバい　どうしよう | 糟糕 怎么办
EP12: 今すぐ出たいのに　あの人たちが邪魔で出にくい | 真想马上出去 这些人却在这挡着
EP12: いかん　早く出ないと | 不好 得快点出去
EP12: 頭がボーっとしてきた | 头越来越晕了
EP12: 壊してみよっか | 砸开看看吧
EP12: いいんですか | 不要紧吗
EP12: ヤバいよ　貸家だし | 当然要紧 这房子是租的
EP12: でもやんなきゃでしょ | 但不得不做
EP12: 何か原因があるはずなんだ | 一定有什么原因
EP12: 両親がああなった原因が | 害我父母变成那样的原因
EP12: お姉ちゃん　ワニって知ってる | 小姑娘 你知道鳄鱼吗
EP12: ワニってあのトカゲみたいなやつですか | 是说那种长得像蜥蜴的动物吗
EP12: 違う違う | 不对不对
EP12: 混浴の温泉によく出没して　女の人の裸を狙ってくるヤツらのことさ | 我是说经常出现在混浴温泉 专门偷窥女人裸体的人
EP12: この人数　ウチの超能力で相手にできる | 这么多人 我的超能力对付得了吗
EP12: 狼の群れはリーダーをたたけば　散り散りになるって聞いたことあるけど | 听说只要干掉狼群领袖 它们就会散去
EP12: ヤバい | 糟糕
EP12: #注：「灌篮高手」ED1
EP12: #注：「灌篮高手」OP1
EP12: #神越市站
EP12: #禁止入内　小寺的房间
EP12: #出发 前往诅咒之家
EP12: #出发 前往诅咒之家
EP12: #注：葡萄牙语「Vamo la」，碳酸饮料DEKAVITA C的广告词
EP12: #注：Kazu指出演广告的三浦知良
EP12: #真实存在!!UMA 霍加狓 矛尾鱼 捕蝇草 克拉肯 大猩猩 欧巴宾海蝎 科莫多龙
EP12: #神秘至极！在1901被正式发现之前，被当作「非洲的独角兽」，其有着马一样的身体，腿上有斑马一样的条纹，脸长得像长颈鹿！其隐居于非洲密林，想一睹真容极为困难。这种鱼曾被认为已于6500万年前灭绝，但1938年在南非发现了存活的个体。其有着古代鱼特征的身姿简直是活化石！矛尾鱼的发现是理解进化过程的关键。捕蝇草也曾是UMA之一！该植物于18世纪在美国的沼泽地里被发现，因其有着能捕捉动物并消化的惊人能力而闻名。传说中所记述的海怪正是克拉肯！随着科研人员深海调查的推进，确认了其存在并命名为大王乌贼。此外，萨克森极乐鸟是生活在巴布亚新几内亚的热带雨林中的非常美丽的鸟。其特征是首饰般的饰羽。大猩猩也曾是未确认动物(UMA)！直到19世纪，大猩猩是否存在都是谜团。相传它是深藏于密林深处的巨大人型生物，只有相关目击情报与传闻。从公元前5世纪起就流传着它的存在。然而，在1847年美国传教士托马斯·萨维奇带回了大猩猩的骨头，科学地证明了其存在。这是UMA研究中的重大转机，大猩猩也脱离UMA被正式认作动物。据说以前有人误以为大猩猩是人类而尝试与之对话……欧巴宾海蝎是生活于寒武纪的非常奇妙的生物！20世纪初发现化石，有着奇妙的外观『五只眼和长长的附肢』，当时认定为UMA。最后是科莫多龙！正如其名，它是能在外观上让人联想到恐龙的蜥蜴。这生活在印度尼西亚科莫多岛上的巨大蜥蜴，曾是恐龙传说的由来。1910年被正式发现，它能感知到4千米外猎物的气息，奔跑时速20公里的恐怖身姿和惊人的狩猎能力，让它作为UMA留下了一笔浓厚的神秘色彩。
EP12: #头 两边宽 呈扁平的三角形 动作迅捷 跳跃高度能达2米 脖子 中间纤细 身长 30-80cm 身体 有啤酒瓶那么粗 尾巴 像老鼠一样细 颜色 黑褐色、灰色 特辑 土龙的真身 自古便流传于传说和民间故事中的土龙。 这次，我们收到了东京都内M市近郊目击土龙的证言。
EP12: #土龙的存在自古就在日本代代相传。某N县出土的绳文时代陶器壶边饰中描绘了土龙，飞鸟时代的文献中也记录了土龙。江户时代则有更多的目击报告
EP12: #近年来流传着捕获土龙就能获取巨额奖金的传闻，一时间举国陷入了探寻土龙热潮。据本刊读者来信，现在仍有很多探险家在山中来回探寻土龙。由于看见土龙会让人患病并死于高烧，因此探寻过程中应当小心。另一方面，它作为地区故事和祭典的一部分而被传承，它神秘的存在至今也持续牵动着人们的心。
EP12: #特征 根据过去的目击情报来列举其特征。身长约30cm到80cm。与蛇相比，身体中间部分膨大，总的来说体色以黑褐色之类的黑色为主。还有着高约2米的跳跃力。由于基本是单独行动，所以不容易被人发现。有人曾培育过土龙！现在将要介绍过去土龙和日本军方相关的惊人故事。关于土龙的存在，一个耐人寻味的事实是，战时日本军方的科研人员曾捕获土龙，并出于研究目的而对其进行培育。这是日本军方所推进的秘密研究的一环，旨在探明其生态与特性。现在相关记录已散失。目击证言 H.12.8 K.T提供 放学后在杂木丛发现它了。 H.10.4 H.M 抓虫时发现的。S.48.?? 被猴子追的时候看到的。嘴里是红的。 S.8 H.Y. 从神社的地板下听到了鼾声。
EP12: #土龙的绳文时代陶器
EP12: #河童起源于奈良时代
EP12: #地球空洞说 UFO与地底人 地底王国雅戈泰
EP12: #蒙古死亡沙虫
EP12: #潜入!!地底人的集会!!
EP12: #巨大食人蚯蚓
EP12: #大蛇温泉观光导览图
EP12: #馒头
EP12: #特产
EP12: #荞麦面
EP12: #咖啡
EP12: #馒头
EP12: #温泉馒头
EP12: #特产
EP12: #打靶
EP12: #打靶
EP12: #馒头
EP12: #温泉馒头
EP12: #特产
EP12: #男女共用 当心地滑
EP12: OUT

EP13: IN
EP13: オオカミの群れは　リーダーをたたけば | 听说只要干掉头狼
EP13: 散り散りになるって　聞いたことあるけど | 狼群就会四散而逃
EP13: やばい　頭がぼうっとして | 完蛋 脑袋越来越晕了
EP13: あっちー | 好烫
EP13: やばい　やばい | 完蛋 完蛋
EP13: 何した　あいつ | 那家伙做了什么
EP13: 変なとこ　触ったんじゃねえのか | 怕不是摸到了奇怪的地方
EP13: 女が逃げるぞ | 那女的要逃走了
EP13: 捕まえろ | 抓住她
EP13: 危ねえ　塀が倒れてきたぞ | 好险 围墙怎么倒了
EP13: 早く出ろ | 赶紧出去
EP13: 潰される | 要被压扁了
EP13: 何か　よく分かんないけど　今のうちに | 虽然不知道怎么回事 趁现在先逃吧
EP13: ちょっ… | 这…
EP13: 眺めいいじゃん | 这景色不是挺棒的嘛
EP13: たまたま　ボロい温泉でよかったな | 真是幸亏这家温泉够破
EP13: いや　ラッキー | 运气真好
EP13: 持ってるぜ　わしはよ | 当然 我说的是自己
EP13: ターボババア　なんでいんの | 高速婆婆 你怎么在这里
EP13: わしをなめんなよ | 别小瞧我
EP13: 星子が小僧の住所を言ったとき　ピンときたぜ | 星子提到那小子住哪时 我一下就想到了
EP13: そこは温泉地帯だってことがよ | 那可是片温泉胜地
EP13: そこで　わしはこっそりてめえのリュックに忍び込んでたってわけだぜ | 所以我就偷偷钻进你背包里了
EP13: いや　普通に来れば | 你想来直说就行了
EP13: っていうか　この建物　どうすんの | 话说 这家店怎么办呀
EP13: 気にすんな　どうせボロだ | 别在意 这里原本就够破
EP13: わしは何もしてねえからよ | 都不用我做什么
EP13: くそっ　なんだってんだよ | 可恶 这是怎么回事
EP13: 痛てっ | 好疼
EP13: 誰じゃ　こんなんしたヤツは | 这是谁干的好事
EP13: お前らがやったんか　こらあ | 是你们吗 混蛋
EP13: こいつら　鬼頭家の | 这些人 是鬼头家的
EP13: また悪さしてんのか　てめえら | 你们又在搞什么鬼
EP13: やばい　商工会の連中だ | 完蛋 工商会的走狗来啦
EP13: 捕まえろ | 抓住他们
EP13: 待て | 站住
EP13: 逃がすなよ | 别让他们跑了
EP13: ゲスどもが　一生　捕まっとけ | 一群人渣 进去就别出来了
EP13: いい湯だったぜ | 这温泉真舒服
EP13: 助かったわ　ありがと | 多亏婆婆救我 谢谢
EP13: 誰がてめえなんか助けるか | 谁是去救你的
EP13: この器の能力が勝手に出ただけだぜ | 只是这具身体的能力自己发动了
EP13: そういやそうだね | 这么说也是
EP13: それよりさ　ジジの家　見た | 话说回来 你看过小寺家了吗
EP13: ターボババア的にどうよ | 在你看来 有什么问题吗
EP13: うちは何も見えなくってさ | 我倒是什么都没看出来
EP13: ありゃダメだな | 很不妙啊
EP13: あの家は　人間の血が染み込み過ぎてる | 那栋房子已经被人血浸透了
EP13: やばっ　何これ | 好可怕 这是什么
EP13: どうしよう　オカルン | 怎么办 超然仔
EP13: どうするったって | 我也不知道啊
EP13: とりあえず　綾瀬さんが戻るまで待ちましょう | 总之 先等绫濑同学回来吧
EP13: 安易に飛び込むのは危険ですよ | 冒然进去太危险了
EP13: 綾瀬さん　帰って来た | 绫濑同学回来了
EP13: ナイスタイミング | 回来得正是时候
EP13: モモ　ちょっと　すごいもん… | 小桃 有个不得了的…
EP13: 角の家のバカ家族いるでしょ | 转角那家蠢蛋你们知道吧
EP13: あそこのヤツら　全然　挨拶しないのよ | 那家人完全不跟人打招呼呢
EP13: もうやんなっちゃうわよね | 真是太讨人厌了
EP13: ここはうちらの土地なんだからよぉ | 这里是我们的地盘
EP13: 礼儀を知らねえヤツは分からせてやる必要があるぜ | 还是有必要提醒一下不懂礼貌的家伙呢
EP13: 仁　お前らも突っ立ってないで | 仁 你俩也别傻站着
EP13: 座って　お菓子でも食えよ | 坐下吃点东西吧
EP13: あざっす | 谢谢大婶
EP13: そうだぜ　愛想よくしとけよ | 不错 态度好点
EP13: 俺の温情で　家賃免除してやってんだからよ | 多亏你温柔的婶婶我 没收你房租
EP13: あざまっす | 受大婶关照了
EP13: 親が貧弱だと大変だなあ | 父母身体不好很辛苦呢
EP13: おめえは俺らがいなきゃ　外で途方に暮れてるとこだぜ | 要是没有我们 你就得露宿街头了
EP13: そうだよ　感謝してね | 是啊 你要心怀感激
EP13: ジジさん　これ　どういうことですか | 小寺 这是怎么回事
EP13: ここ　借家だからさ | 这房子是租的
EP13: 両親が入院してる間　家賃免除してもらってんの | 在我父母住院期间 房东为我们免了房租
EP13: この人たちは鬼頭さんって　地主の人たちで | 这几位姓鬼头 是这里的地主
EP13: この人たちのおかげで　俺はこの家にいられるんだよ | 多亏了她们 我才能继续住在这里
EP13: じゃあ　さっきの壁　やばいじゃないですか | 那刚刚弄破墙壁 岂不是闯祸了
EP13: いざとなったら　知らないふりね | 万一被发现了 就装作不知道
EP13: 仁よ | 仁啊
EP13: 俺らに断りなく　いきなりいなくなったよなあ | 为什么没给我们打声招呼 突然就走了
EP13: 友達がうちに遊びに来たいって言うから　迎えに行ったんですよ | 朋友说想来我家玩 所以就去接他了啦
EP13: そのくらい　いいでしょ | 这点小事没关系吧
EP13: まさかとは思うがよ | 希望是我想多了
EP13: また　霊媒師とかいうのを連れてこようとしてたんじゃあねえよなあ | 你不会又想找什么灵媒师过来吧
EP13: ふざけんじゃねえよ | 开什么玩笑
EP13: 霊なんて　出るわけねえだろ　ボケ | 这世上哪有什么鬼魂 蠢货
EP13: うちらの土地の評判　落とすつもりかよ | 你是想让我们家的地皮掉价吗
EP13: 霊が出るなんてホラを振りまくな | 哪来的鬼魂 别到处造谣
EP13: いやいや　彼が霊媒師に見えます | 不会啦 他看起来像灵媒师吗
EP13: あの人たちにはだまされただけですよ | 之前我只是被那些人骗了而已
EP13: 俺は狩猟免許持っててよ | 我有狩猎执照你知道吧
EP13: 山じゃ不運な事故がよく起こるんだぜ | 山里时不时会发生些不幸的事故
EP13: 例えばよ　イノシシ追っかけてたらよ | 比如说呢 在我追野猪时
EP13: たまたま　そこに　人が通りがかるなんてことがよ | 碰巧有人从我枪口前路过
EP13: 勘弁してくださいよ | 您可别开玩笑了
EP13: いくら　免許持ってても | 哪怕持有狩猎执照
EP13: 銃　人に向けてたら　警察に捕まりますよ | 拿枪指着人也还是会被警察抓起来的
EP13: どうも　こんにちは | 你好 打扰了
EP13: いや　参ったぜ | 哎呀 真是服了
EP13: 商工会の連中に見つかっちまってよ | 又被工商会那帮人抓住了
EP13: つるちゃん巡査が助けてくれなかったら　やばかったぜ | 要不是有小鹤巡警帮忙 可得头疼了
EP13: あそこはさすがにボロすぎ | 那地方实在太破了
EP13: 次の場所　探さないとですね | 看来下次得换个地方了
EP13: あんま　むちゃされると困るんすよ | 各位也别闹太过分了
EP13: 後処理　大変なんすから | 不然我善后也不好做
EP13: あんたら　また何やらかしてきたんだい | 你们几个又干了什么
EP13: 母ちゃんにはないしょ | 不告诉妈妈
EP13: 鬼頭家の人間が警察に捕まったら　つるちゃんのせいだよ | 鬼头家的人被警察抓住还不是你的错 小鹤
EP13: よう　仁　どこ行ってたんだよ | 哟 仁 前两天去哪了
EP13: いや　ちょっと　友達と | 那什么 找朋友去了
EP13: うそだけはつくなよ | 可别撒谎哦
EP13: いちばん嫌ぇなんだよな　うそつきが | 我最讨厌撒谎的人了
EP13: うっす | 当然
EP13: こいつ　誰 | 这小子是谁
EP13: 彼は　俺の親友で | 他是我的好朋友
EP13: 遊びに来たいって | 说想过来玩
EP13: 仁の好きなサッカーのチームは | 仁喜欢哪支足球队
EP13: 親友なら分かるでしょ | 好朋友总该知道吧
EP13: あの　彼は… | 那个 他…
EP13: 仁は黙ってろ | 仁 你闭嘴
EP13: まさか　出会ったばっかじゃないよね？ | 还是说你们其实刚认识？
EP13: 君が　もし　親友じゃないとしたら | 如果你不是他的好朋友
EP13: なんで　仁は君をこの家に連れてきたんだって話になるなあ | 那就得问问 为什么仁要带你到这房子里来了
EP13: ザ…ザンジェルマン | 圣…圣日耳曼
EP13: なんだ | 什么嘛
EP13: 知ってんじゃん | 原来你知道啊
EP13: 彼は仁の親友だよ | 他是仁的好朋友
EP13: オカルン　ナイス | 漂亮 超然仔
EP13: おい　仁 | 喂 仁
EP13: もう一人　女のヤツいたよな | 好像还来了个女的吧
EP13: いつ帰って来るんだ | 她什么时候回来
EP13: えっと　女の子　誰のことだろ | 什么女孩子 是在说谁呢
EP13: おいおい　仁　そいつは本当だろうな | 喂喂 仁 你没说谎吧
EP13: いや　本当に | 啊 是真的
EP13: てめえ　今　やっちまったぜ | 臭小子 可算露馅了
EP13: 俺らにうそをついたな | 你说谎了吧
EP13: ツチノコが祭ってある神社って　ここだよね | 祭祀着土龙的神社 是这里没错吧
EP13: っていうか　あれはなんだ | 不过 这是什么情况
EP13: 何か御用ですか | 有什么事吗
EP13: いや… | 那什么…
EP13: ツチノコの神社って　ここですか | 祭祀土龙的神社是这里吗
EP13: はいはい | 是这没错
EP13: お見苦しいところを | 让您见笑了
EP13: 「ブーチューバー」になりたくて | 因为我想当「BooTuber」
EP13: どうぞ　上がってください | 请进来吧
EP13: いいんすか　そんなすぐ見せてもらって | 可以吗 就这么直接给我看了
EP13: 貴重なものなんじゃ | 这东西很贵重吧
EP13: 全然 | 算不上
EP13: こんなんじゃ　金稼げませんから | 靠这东西也赚不了钱
EP13: ブーチューバーになりたいなあ | 真想当BooTuber啊
EP13: めっちゃ楽しみ | 好期待
EP13: あとでもっかい　オカルンと来よう | 回头叫上超然仔再来一趟吧
EP13: ツチノコに… | 这就是土龙…
EP13: 見えねえ | 看不出来
EP13: 私もそう思います | 我也这么觉得
EP13: この神社に残ってる文献には | 这间神社留下的文献上写着
EP13: 「天昇る竜は　虹をかけ」 | 「升天之龙 架起彩虹」
EP13: 「山の怒りは村をのみ込む」とあります | 「山之怒火 吞噬村落」
EP13: この土地には　大蛇信仰がありまして | 在这片土地上 流传着大蛇的信仰
EP13: 火山に住む大蛇が　腹をすかせると | 传说火山里的大蛇 若是感到饥饿
EP13: 火山が噴火すると考えられてきました | 就会导致火山喷发
EP13: 当時の人は　村の子どもを１人 | 据传当时的人们 会从村里挑一个小孩
EP13: 供物として　ささげることで　大蛇の空腹を抑えていたといいます | 作为贡品献上 以喂饱大蛇
EP13: そのおかげで　200年間　一度も火山は噴火せず | 拜此所赐 两百年来 火山一次也没有喷发
EP13: 温泉という恩恵を得られていると伝えられています | 据说这遍地的温泉也是大蛇的恩惠
EP13: そのへその緒みたいのは　大蛇が脱皮したときのものらしいです | 这根脐带一样的东西 据说是大蛇蜕下的皮
EP13: 今では　その大蛇の皮を祭ることで　火山の噴火を防いでいるらしいです | 人们现在通过祭祀大蛇的蜕皮 来防止火山喷发
EP13: じゃあ　ツチノコは | 那土龙呢
EP13: 私のおやじが　ツチノコって言った方が　観光客が来るって | 我老爹说 把这玩意叫做土龙 比较容易吸引游客
EP13: クソが | 可恶
EP13: でも　そのおかげで　あなたみたいな方が訪れてくれます | 不过 也的确能吸引到你这样的游客前来
EP13: この大蛇の伝説は人間の過ちです | 大蛇的传说是人类犯下的错误
EP13: 恐怖によって　思考能力を奪われた人間は | 被恐惧剥夺了思考能力的人类
EP13: 人柱さえも信じて行ってしまう | 就连人柱祭祀也愿意尝试
EP13: そんな過ちを繰り返さないよう | 为了后人不要再重蹈覆辙
EP13: 私はここでお話をさせていただいております | 我才会在此处讲述这个故事
EP13: ほんとは　三角倒立のブーチューバーになりたいんですが | 其实我更想当三点头倒立的BooTuber
EP13: いや　その話「ブーチューブ」ですれば | 干嘛不直接去「BooTube」上讲这个故事
EP13: ツチノコ　いなかったなあ | 根本没有土龙啊
EP13: オカルン　がっかりするだろうなあ | 超然仔一定会很失望吧
EP13: でも　まあ　土着の昔話とかは好きそうだな | 不过 这种古老的地方传说 他应该也会喜欢
EP13: さてさて | 让我看看
EP13: 男二人は友情を深めてるかなあ | 两个男生的感情有变好吗
EP13: ただいま　お化けは出たかね… | 我回来了 妖怪出现了吗…
EP13: やっと　供物がそろったな | 贡品终于备齐了
EP13: それじゃ　祭りを　始めようか | 那么 就让祭典开始吧
EP13: 痛っ | 好痛
EP13: パイパイ | 前辈
EP13: やばい　目が回って | 不妙 头晕眼花了
EP13: よーし　よしよし　いい子だね | 乖乖 听话 真是好孩子
EP13: 怖くないよ | 别怕哦
EP13: クソだらあ | 混账
EP13: 痛い | 好疼
EP13: 人がいい気分で寝てたのによ | 我睡得正香呢
EP13: 誰だ　わしをギュギュ潰したヤツは | 是谁那么用力压我
EP13: ターボババア　ありがと | 高速婆婆 谢谢你
EP13: ついでに　手を貸してもらえると助かる | 要是能顺便帮个忙就好了
EP13: わしはてめえを助けねえ | 我才不会帮你
EP13: んで　こいつら何よ | 所以 这帮人是谁
EP13: こっちが聞きてえわ | 我还想知道呢
EP13: 落ち着きなよ　おねえちゃん | 冷静点嘛 小姐姐
EP13: 近づくんじゃねえ | 别靠近我
EP13: 今すぐ　この家から出てけ | 马上 给我滚出这间房子
EP13: 早くしろ | 快点
EP13: いってえな | 疼死了
EP13: こいつ　マジか | 真的假的
EP13: ぢぇにふぁ | 詹妮弗
EP13: ろぺす | 洛佩兹
EP13: 「穴根打」 | 「穴根打」
EP13: さすが母ちゃん　鬼頭家最強のババアだぜ | 不愧是妈妈 鬼头家最强老太婆
EP13: あの女　何者だい | 这女人什么来头
EP13: 何か　妙な力を使っているように見えたね | 她好像会使用某种奇怪的力量
EP13: 何者だよ　あのババア | 这老太婆什么来头
EP13: ただの強えババアだろ | 就是个厉害的老太婆吧
EP13: いや　そんなヤツいる | 会有这种人吗
EP13: てめえん家にもいんだろ | 你家不就有吗
EP13: 確かに | 确实
EP13: 母ちゃん　あれ見て | 妈 快看那个
EP13: 物が浮いてるし | 东西飞起来了
EP13: 猫がしゃべってる | 还有猫在说话
EP13: ってか　何この部屋　マジキモい | 话说 这房间怎么回事 好恶心
EP13: このやろう　何者だい | 你这家伙 到底是什么人
EP13: 霊媒師ってわけでもなさそうだね | 看起来也不像灵媒师
EP13: 祭りの邪魔をするってことは | 竟敢妨碍祭典
EP13: どうやら　てめえは　この村を壊しに来たみてえだな | 这么说 你是来破坏这个村子的吧
EP13: この村は俺ら鬼頭家が代々守ってきた土地だ | 这村子是我们鬼头家世代守护的土地
EP13: 好き勝手させねえぜ | 可不会让你乱来
EP13: はあ | 什么
EP13: 人ん家　勝手に入り込んできて | 擅自闯进别人家里
EP13: いろいろ　めちゃくちゃにしといて | 还弄得乱七八糟
EP13: 何言ってんだ | 哪有脸说别人
EP13: とっとと帰れ | 赶紧给我滚回去
EP13: おいおい | 喂喂
EP13: てめえ　誰のおかげで　安全安心に温泉入れると思ってんだ | 你以为自己能安心泡温泉 是托谁的福啊
EP13: 俺らが200年間　大蛇様に供物をささげてるからだろがい | 都是我们两百年来 不断向大蛇大人献上贡品
EP13: そのおかげで　火山の噴火は抑えられ | 正因如此 火山才没有喷发
EP13: 温泉っていう　大蛇様の恩恵を受けられてる | 才能受到大蛇大人的恩惠 享受这温泉
EP13: 俺ら鬼頭家がこの土地を管理してなきゃ | 如果不是我们鬼头家在管理这片土地
EP13: 今頃　村はマグマの下さ | 这村子早就被岩浆吞没了
EP13: ちょっと待って　供物をささげてるって言った？ | 等一下 你刚说了献祭贡品？
EP13: そう言ってんだろうが | 没错 我说了
EP13: この場所は　もともと　祭壇があった場所だ | 这地方本来就是祭坛所在的位置
EP13: まさに　ここで　人柱が立てられた | 正是曾经立下人柱的地方
EP13: 時代によって　姿形は変わったが | 虽然时代变迁 房屋外观发生了变化
EP13: この家は紛れもなく祭壇さ | 但这栋房子正是曾经的祭坛
EP13: そして　俺ら鬼頭家は　この家に供物を招き入れ | 而我们鬼头家会将贡品引入房子中
EP13: 大蛇様に　ささげてるのさ | 献给大蛇大人
EP13: まさか　それでジジの両親は… | 难道 小寺的父母就是因此…
EP13: ラッキーだったぜ　ちょうど３人 | 真走运 刚好三个人
EP13: 供物が足りねえとこだったんだよ | 我们正愁贡品不够呢
EP13: 大蛇様は　大層　おなかをすかせていらっしゃる | 大蛇大人现在可是饿得不行
EP13: 何なんだよ　これよ | 这到底是什么鬼啊
EP13: やばい　やばい | 完了完了
EP13: 床が砂になってんじゃん | 地板变成沙子了啊
EP13: やんのか　こらあ | 想干架吗
EP13: 早く　ここから出ないと | 得想办法从这出去
EP13: んだ　こらあ | 要打就来啊
EP13: この敷居はまたがせねえよ | 别想离开这房间
EP13: てめえは　その流砂に飲み込まれて | 你就等着被流沙吞没
EP13: 大蛇様の供物になるんだよ | 成为大蛇大人的贡品吧
EP13: マジで　やばい | 这下真糟了
EP13: ターボババア　なんとかしてよ | 高速婆婆 快想想办法
EP13: 流砂に入っちまった | 要掉进流沙里了
EP13: 大蛇様の領域に | 大蛇大人的领地
EP13: 綾瀬さん　こっち | 绫濑同学 这边
EP13: 今のうちに | 趁现在
EP13: モモ　超能力使え | 小桃 用超能力
EP13: 二人とも　ナイス | 干得漂亮 你们俩
EP13: 助かった | 得救了
EP13: いっつ | 好痛
EP13: オカルン　大丈夫 | 超然仔 没事吧
EP13: なんとか | 勉强还行
EP13: ちょっと　マジかよ | 不会吧
EP13: どうやって戻るんだよ　これ | 这下该怎么回去啊
EP13: なにこれ　やばくない | 这都是什么 太恐怖了
EP13: なんで　地中に　こんなたくさん | 为什么地底会有这么多房子
EP13: モモ　オカルン　助けて | 小桃 超然仔 救命
EP13: ジジ　どこにいんの | 小寺 你在哪
EP13: こっち | 这里
EP13: ジジ | 小寺
EP13: 落ちる | 撑不住了
EP13: 今　助ける | 这就来救你
EP13: 大蛇様　よくぞ　おいでになられました | 大蛇大人 您终于现身了
EP13: 我々　鬼頭家は　大蛇様の使者です | 我等鬼头一族乃是您的使者
EP13: ちゃんとポーズしろ　食われるぞ | 快摆好姿势 不然会被吃掉的
EP13: あれが　大蛇様 | 那就是大蛇大人
EP13: 初めて見た | 还是第一次见
EP13: 此度　ささげる供物は　あの三人 | 此次献上的贡品是那三人
EP13: 我ら鬼頭家とお間違いにならぬよう | 还恳请您勿要错将我等当作贡品
EP13: 大蛇様って　この土地の伝説の | 大蛇大人 是当地传说中那个吗
EP13: やばっ　迷信じゃなかったの | 什么 原来不是迷信吗
EP13: ありゃ「くらがり」だな | 那是「晦暗」
EP13: 「くらがり」って何 | 那是什么
EP13: あれ　知ってんの | 你知道吗
EP13: モンゴリアンデスワームだ | 是蒙古死亡蠕虫
EP13: ゴビ砂漠に生息してると言われてる　巨大食人ミミズのUMAです | 据说是一种生活在荒漠中的巨大食人蚯蚓UMA
EP13: でも　言われている話では　体長1.5メートルから2メートルくらいで | 但是书上说它们也就长到1.5米到2米
EP13: こんなでかいデスワームは聞いたことがありません | 这么大一只简直是前所未闻
EP13: じゃあ　あいつらが200年の間　生贄をささげてたのって | 这帮人两百年间不断献祭贡品投喂的
EP13: ミミズのUMA？ | 是一只蚯蚓UMA？
EP13: さあ　大蛇様　あの三人をお召し上がりください | 大蛇大人 是时候了 快吃掉那边的三人吧
EP13: おい　ふざけんな　クソババア | 开什么玩笑 臭老太婆
EP13: てめえらが崇めてんのは神様でもなんでもねえ | 你们崇拜的哪是什么神明
EP13: ただの人食いミミズだ | 不过是一只食人蚯蚓啊
EP13: 鎮めたまえ… | 请您息怒…
EP13: 食われてんじゃん | 全被吃掉了
EP13: どうすんの　これ | 这下该怎么办
EP13: こんなの　絶対倒せないっしょ | 这东西我们肯定打不过
EP13: これは　確かに　やばいわ | 的确是糟得不能再糟了
EP13: とりあえず　家の中に隠れよう | 总之先躲进房子里
EP13: 外にいたら　まずい | 待在外面很危险
EP13: あ痛っ… | 好痛…
EP13: 二人とも早く | 你们俩快点
EP13: あいつに見つかる… | 别被那家伙发现…
EP13: どうしたの　二人とも　大丈夫 | 怎么了 你们没事吧
EP13: みんな　行くぞ | 大家跟我走
EP13: 荒ぶる大蛇伝説 | 狂暴大蛇的传说
EP13: 鬼頭ナキ　仕掛けて　仕損じなし | 鬼头奈纪出马 定是手到擒来
EP13: 悪しき因習より生み出されしもの　その名は… | 因陋习而生之物 其名为…
EP13: 次回　邪視 | 下一集 邪视
EP13: #这不就是大蛇传说嘛
EP13: #注：巴黎圣日耳曼足球俱乐部
EP13: #注：通常指将活人埋在建筑物地基，用于镇邪祟或抵御自然灾害
EP13: #注：与日语Anaconda同音，即电影「狂蟒之灾」的英文原名，詹妮弗·洛佩兹在其中饰演女主角
EP13: #隐藏在地底空间的秘密!!来自迷宫沙漠生还者的证言
EP13: #挑战世界未解之谜与奇迹
EP13: #UFO | 超能力 | UMA | 灵异现象 | 古代文明 | 神秘| 都市传说 | 超自然
EP13: #用高维度力量来变得受欢迎吧!!
EP13: #来亲自感受这超稀有水晶所释放的纯粹力量吧!!
