EP01: IN
EP01: おはよう　ニコラ | 早上好 妮可拉
EP03: ヤツらを放置すれば　デバッグの作業が進まず | 如果放任那些家伙 测试作业就无法继续
EP03: ゲームも一向に完成しない | 游戏也根本无法完成
EP03: いや　わかりますけど　排除って？ | 我能明白 但是消除是指？
EP03: 方法はシンプルだ | 方法很简单
EP03: これを… | 把这个…
EP03: ちょちょ… | 等等…
EP03: 心配するな　スミダのだ | 不必担心 这是隅田的
EP03: いや　そこじゃなくて | 我担心的不是这个
EP03: こうして一人ずつ　デバッグの権限を奪う | 像这样一个个剥夺他们的调试权限
EP03: お前のは返しておこう | 你的就先还给你
EP03: これからも　愚かなデバッガーの排除に励むがいい | 今后也努力消除那些愚蠢的调试员吧
EP03: なんで | 为什么
EP03: どうして　僕なんですか | 为什么是我
EP03: というか　メタAIなら　あなたが直接やれば | 话说既然你是元AI 不能亲手去做吗
EP03: ワシにはプレイヤーに直接関与する権限はないのだ | 我没有能直接干预玩家的权限
EP03: そして… | 而且…
EP03: この辺りで真面目にデバッグしておるのは　貴様だけだからな | 在这附近认真进行测试作业的也就只有你了
EP03: ハガ　しかと働けよ | 羽贺 给我好好工作哦
EP03: 戻った？ | 变回来了？
EP03: ハガさん | 羽贺先生
EP03: あれ　私たち地下にいたんじゃ | 咦 我们不是在地下吗
EP03: なんか　おなか気持ち悪い | 感觉肚子好难受
EP03: 食べすぎだし　デバッグストーン食べたからね | 毕竟吃了那么多 还有一块调试石
EP03: デバッガーの排除って | 消除调试员啊
EP03: ハガさん　地下ダンジョン出てから元気ないな | 羽贺先生从地下迷宫出来后就没什么精神
EP03: ああいうことをもっとやれっていうのか | 就是说要继续做那种事吗
EP03: 僕にはできない　できないよ | 我做不到 做不到啊
EP03: 私が　頑張らなきゃ | 我得加把劲才行
EP03: ハガさん　見てください | 羽贺先生 你看
EP03: 村がありますよ | 那里有座村庄
EP03: 食糧をあそこで買い出しするのはどうですか | 我们去那补充食材怎么样
EP03: そうですね | 说得也是
EP03: 昨日ほとんど使い果たしましたし | 昨天就没剩多少了
EP03: 全部食べたの君なんだけどね | 其实都是被你吃完的
EP03: やっぱり　地図に載ってない | 果然不在地图上
EP03: こんなところにまだ見つけてないロケーションが | 这种地方居然还有没被发现的区域
EP03: おい　お前ら | 喂 你们
EP03: 何者だ | 是什么人
EP03: どこから来た | 从哪来的
EP03: 動くなよ | 不准动
EP03: 少しでも怪しい動きをしたら　ただじゃ済まんぞ | 但凡你们有任何可疑的举动 后果自负
EP03: #特斯拉
EP03: #降临祭坛
EP03: #「降临祭坛」是旧时代的遗迹。 是由来自大陆的魔法生物和邪教徒构成的可怕迷宫， 除了不要命的冒险者外无人接近。
EP03: #战士
EP03: #磨练剑与盾使用技术之人。 因其没有特别的资质需求， 所以战士公会成为了克莱伯恩岛人数最多的公会。
EP03: #重生
EP03: #重生
EP03: OUT

EP04: IN
EP04: 突然　ニコラさんの様子が豹変した | 妮可拉小姐的行为突然变得十分奇怪
EP04: NPCのニコラさんの中には | 在NPC妮可拉体内
EP04: ゲーム全体を統括するメタAI　テスラが同居していたのだ | 存在着监管游戏的元AI特斯拉
EP04: テスラは悪質なデバッガーの排除を命令してきた | 特斯拉下令让我除掉恶劣调试员
EP04: そして僕たちは新たな村へとたどり着いたのだが… | 之后我们到达了新的村子 但是…
EP04: おい　お前ら | 喂 你们
EP04: 何者だ | 是什么人
EP04: どこから来た | 从哪来的
EP04: 動くなよ | 不准动
EP04: 少しでも怪しい動きをしたら　ただじゃ済まんぞ | 但凡你们有任何可疑的举动 后果自负
EP04: おい　みんな　集まれ | 喂 大家 集合了
EP04: なんだ | 什么事
EP04: どうした | 怎么了
EP04: 不審者か？ | 有可疑人员？
EP04: 大丈夫か | 没事吧
EP04: 何者だ | 什么人
EP04: これは？ | 这是？
EP04: あの | 那个
EP04: 流行ってるんですか　これ | 最近流行这样吗
EP04: 何のことだ | 你在说什么
EP04: ちょ　ニコラさん | 等等 妮可拉小姐
EP04: バグです | 这是BUG
EP04: この村の人たちはTポーズのままなんです | 这座村子的人还是T型姿势
EP04: Tポーズ？ | T型姿势？
EP04: 3Dキャラの基本姿勢のことです | 就是3D角色的默认姿势
EP04: 通常はそれに動きを入れるんですけど | 通常会给他们加入动作
EP04: 彼らにはモーションが入ってない | 但却漏掉了他们
EP04: そのせいで宙に浮いたまま移動しちゃってるんです | 所以才浮在空中移动
EP04: とにかく　まず村人のリストを作ってもらっていいですか | 总之 可以先把村民表列出来吗
EP04: その上で　誰があのポーズになっているか調べましょう | 之后再统计异常姿势吧
EP04: はい | 好的
EP04: 脅かしてすみません | 很抱歉吓到你们了
EP04: その…僕らは別に怪しい者じゃなくてですね | 那个…我们不是什么可疑人物
EP04: 各地を調査している正式なシーカーでして | 是在各地调查的正式探索者
EP04: 疑ってすまなかったなあ | 抱歉怀疑你们了
EP04: 村でゆっくりしてってくれ | 请在村中慢慢休息
EP04: よかったです　納得してもらえて | 太好了 他们相信了
EP04: ええ | 嗯
EP04: まだよくわからないこともたくさんあるけど | 虽然还有很多未知的事情
EP04: 今やるべきことは変わらない | 但现在应该做的事没变
EP04: 丁寧に一つずつ　仕事に集中しよう | 脚踏实地集中于工作
EP04: 起きてたのか　ルゥ | 你起来了 露
EP04: おはようございます　アマノ様 | 早上好 天野大人
EP04: 62…63… | 62…63…
EP04: ５回目のチェック終わりました | 第五次检查结束了
EP04: 漏れはないかと | 应该没有漏下
EP04: ありがとうございます | 谢谢
EP04: 再現は５分の５と | 再现率五分之五
EP04: ストーンに合わせて | 放在石板上
EP04: 転送 | 发送
EP04: これで開発チームへの報告完了です | 这样就报告给开发团队了
EP04: 修正されると連絡があるので | 修复之后会有通知
EP04: ちゃんと反映されてるか　明朝に確認します | 明早再去确认是否修复成功
EP04: はい | 好的
EP04: 久しぶりのお布団　幸せ | 久违的被窝 好幸福
EP04: 直ってる | 修复了
EP04: では　もう１回村人の動きを確認しましょう | 我们再确认一次村民的动作吧
EP04: はい | 好的
EP04: 報告　そして修正確認までが僕らの仕事 | 报告 以及修复确认就是我们的工作
EP04: デバッグの基本単位なんです | 是测试工作的基本流程
EP04: なるほど | 我明白了
EP04: おはようございます | 早上好
EP04: おはよう　ルゥ | 早上好 露
EP04: 今日の分だ | 这是今天的
EP04: ありがとうございます | 谢谢您
EP04: また徹夜されたのですね　アマノ様 | 您又通宵了吧 天野大人
EP04: まあな　けど合間合間で仮眠はとってる | 算是吧 不过也断断续续睡了会
EP04: お出掛けになるのですか | 您是要出门吗
EP04: 紙が切れちまったんでな　買ってくる | 纸用完了 要去买点
EP04: 行商が来ているんでしたっけ | 村里好像来了旅行商人
EP04: お気を付けくださいね | 请您路上小心
EP04: すぐに戻る | 我很快回来
EP04: お前の足に効きそうな薬があったら　それも買ってくるよ | 要是有能治你腿的药 我也会买回来的
EP04: Tポーズ状態が直ってる | T型姿势被修复了
EP04: ハガさん　あの人 | 羽贺先生 那个人
EP04: 直ってない | 没被修复
EP04: チェック漏れですね | 被漏掉了吧
EP04: でもちゃんと見たはずなのに　おかしいな | 但是昨天检查得挺仔细的 好奇怪啊
EP04: 初めて見るヤツら | 以前没见过的家伙
EP04: アイツらの仲間か | 是那些人的同伙吗
EP04: すみません　あの | 对不起 那个
EP04: ニコラさん　後ろに | 妮可拉 到我身后
EP04: 消えました | 消失了
EP04: またデバッグストーンを使う人たちですか | 他也用了调试石吗
EP04: デバッグモードじゃない | 这不是调试模式
EP04: 姿隠し　インビジビリティの魔法を使ったんだ | 他用的是隐身类魔法
EP04: 魔法？ | 魔法？
EP04: 最初はTポーズだったけど | 一开始还摆着T型姿势
EP04: 話しかけたら普通のモーションになったよね | 我们一搭话 他动作就恢复正常了对吧
EP04: フェザーだからですかね | 会不会因为他是羽族
EP04: 種族によってっていうのは考えられるよね | 有可能是种族不同导致的差异呢
EP04: 足跡はバッチリ残ってるな | 脚印很清晰啊
EP04: インビジビリティを使ってるの初めて見たけど | 我也是第一次见到隐身魔法
EP04: もともとこういう仕様なのかな | 原本就是这样设计的吗
EP04: 一応メモっといてください | 姑且先记录一下吧
EP04: グラフィックのわずかなバグも　見逃しちゃダメだからね | 再小的图形BUG也不能漏掉
EP04: はい | 好的
EP04: 開発にはウザがられるけど | 不过会让开发人员不爽就是了
EP04: 僕らを襲う感じはなかったから | 我看他好像没有要攻击我们的意思
EP04: とにかく追って話を聞いてみよう | 总之追上去试着沟通一下吧
EP04: ハガさんといると　這いつくばることとか多いけど | 和羽贺先生在一起总是在地上爬来爬去的
EP04: これもシーカーになるための試練だ | 这也是成为探索者的试炼吧
EP04: 違うけどね | 并不是
EP04: 足跡はこの家の中まで続いてる | 脚印一直延伸到这间屋子里
EP04: ですね | 是呢
EP04: どなたさまですか | 请问是哪位
EP04: すみません | 对不起
EP04: えっと　フェザーの冒険者が入って来なかったかなと | 那个 我在找一位羽族冒险者
EP04: 突然入ってきて失礼じゃありませんか | 突然闯进来太没礼貌了吧
EP04: 出ていってください | 请你出去
EP04: ハガさん　そうですよ　非常識ですよ | 羽贺先生 人家说得对 太没常识了
EP04: ゲームなのにこういうところがリアルで面倒だよね | 明明是游戏却在这种时候这么真实 真是麻烦
EP04: あれってバグシートじゃ | 那个是BUG记录吗
EP04: すみません　これ… | 请问 这个是…
EP04: マンガ？ | 漫画？
EP04: 返してください　私のものです | 请还给我 那是我的东西
EP04: 君　これを一体どこで… | 这是从哪里…
EP04: ニコラさん… | 妮可拉小姐…
EP04: 動くな | 不要动
EP04: ちょっとでも　妙な動きを見せたら | 你有任何可疑举动
EP04: ノドモトぐっさりだぞ | 我就划破她的喉咙
EP04: ニコラさん | 妮可拉小姐
EP04: 社長に伝えろ | 告诉社长
EP04: 俺は何の邪魔もしないし　放っておいてくれと | 我没有找过他任何麻烦 让他也别来烦我
EP04: デバッグストーンは渡したんだし　もういいだろ | 我连调试石都交给他了 也该放过我了吧
EP04: 今　デバッグストーンって言いませんでした | 你刚刚提到调试石了
EP04: すみません　もしかしてデバッガーさんですか | 难道说 你也是调试员吗
EP04: お前ら　何者だ | 你们是什么人
EP04: 僕たちは… | 我们是…
EP04: 動くんじゃねえ | 不要动
EP04: 待って　僕らは敵じゃありません | 等等 我们不是你的敌人
EP04: 腰のデバッグストーン見えます | 看到我腰间的调试石了吗
EP04: 不安ならお預けしますから | 要是不放心可以交给你保管
EP04: 皆さん　人の家であまり騒がないでいただきたいのですが | 你们几个 能不能不要在别人家里胡闹
EP04: そうか | 原来是这样
EP04: 村の連中のTポーズが直ってたのはお前が報告したからなのか | 是因为你们的报告 村民的T型姿势才被修复
EP04: しかしよくまあ　あの人数を | 亏你们能统计村里那么多人
EP04: ニコラさんと二人で手分けしましたから | 多亏有妮可拉帮忙
EP04: アダンの街でお前が会ったサカイとスミダは　俺の元同僚だ | 你们在阿旦镇遇到的酒井和隅田是我以前的同事
EP04: 話を聞いた感じじゃ　アソビングの連中は相変わらずみたいだな | 听你的描述 游戏ing那帮家伙真是一点没变啊
EP04: じゃあ　さっき言ってた社長っていうのはアソビング社の | 那你刚才说的社长 是指游戏ing的社长吗
EP04: アイツら　コンソールコマンドの確認とか言って | 那些人借口测试后台指令
EP04: 好き勝手やりやがるからな | 在游戏中随心所欲
EP04: 俺は嫌気がさして出てきたんだ | 我实在受不了就离开了
EP04: それでこんな辺境に | 所以才跑来这边境吗
EP04: というか　アマノさんってプロの漫画家さんなんですか | 对了 你是职业漫画家吗
EP04: プロならデバッグのバイトしねえだろ | 职业漫画家怎么会来兼职做调试员
EP04: 確かに | 说的也是
EP04: 私のためなんです | 他是为了我
EP04: アマノ様は　あまり外出できない私のために　素晴らしい物語を紡いでくださるんです | 天野大人为不便外出的我 编写了动人的故事
EP04: ルゥ　余計なことは言わなくていい | 露 多余的话就不用说了
EP04: でも… | 但是…
EP04: この子はNPCですよね | 这个女孩是NPC吧
EP04: ルゥはサブクエスト「詩を聞かせて」のNPCだ | 露是支线任务「愿闻君之诗」的NPC
EP04: 物語を評価する能力が備わってる | 她有着鉴赏故事的能力
EP04: NPCに合わせて自動生成するサブクエ | 根据NPC能力自动生成的支线剧情
EP04: このゲームの売りの一つですね | 这是游戏的卖点之一啊
EP04: もういいだろ | 就这样吧
EP04: 俺はここで好きなマンガを描くと決めたんだ | 我决定留在这里画自己喜欢的漫画
EP04: わかったら帰ってくれ | 明白了就请离开吧
EP04: よかったら　ご一緒にデバッグできないかなと思ったんですが | 你愿意跟我们一起做测试吗
EP04: するわけねえだろ | 我才不要
EP04: まあ　とにかく　Tポーズが直らない変なバグじゃなくてよかったです | 算了 还好T型姿势不是什么解决不了的奇怪BUG
EP04: お前　真面目すぎだろ | 你这人 认真过头了吧
EP04: ハガだっけか | 你叫羽贺来着
EP04: 未だにデバッグしてるの　お前くらいだと思うぞ | 现在还在认真做测试的也就你了吧
EP04: そうっぽいですね | 好像是
EP04: ニコラさん　どうしたの | 妮可拉小姐 你怎么了
EP04: こんなに感動する物語があるなんて | 居然有这么动人的故事
EP04: 素晴らしいです | 太好看了
EP04: もっと読ませてください | 我还想看
EP04: 何だ何だ | 怎么了
EP04: ちょ　待ってて | 你等下
EP04: お願いします | 求你了
EP04: 読みたいです | 想看啊
EP04: ニコラさんもマンガ読めるんだ | 妮可拉小姐也能看懂漫画啊
EP04: 読ませください | 再让我看看吧
EP04: すみません… | 那个…
EP04: できれば僕ももっと読みたいんですが | 我也还想往下看
EP04: いや　お前は止めろよ | 不是 你该来拦下她吧
EP04: そこをなんとか | 拜托你了
EP04: お願いします | 求求你了
EP04: しつけえな | 太缠人了
EP04: 読んだら帰れよ | 看完后就离开吧
EP04: それと　手を洗え | 还有 先洗手
EP04: 生原稿汚したら殺す | 敢把原稿弄脏就杀了你们
EP04: すごい | 好厉害
EP04: これ全部アマノさんが | 这些全都是天野先生画的吗
EP04: まあな | 嗯
EP04: この量 | 这么多
EP04: アマノさんはこの村に来てどれくらいたつんです | 天野先生你来到这座村庄多久了
EP04: そうだな　ざっと半年ってとこか | 这个嘛 大概有半年了吧
EP04: 俺は社長たちのノリが嫌になって城を出た | 我看不惯社长他们的作风 离开城堡了
EP04: 「もしかしたら　ヤツらが追ってくるかもしれねえ」 | 「他们有可能会来追我」
EP04: 「どこかに身を隠さねえと」 | 「得先找个藏身处」
EP04: 俺の頭はただそのことだけでいっぱいだった | 当时的我只考虑这一件事
EP04: 村　こんなところに | 这里怎么会有村子
EP04: なんつー村だ　バグりまくってんじゃねえか | 这是什么村子啊 到处都是BUG
EP04: でも逆に考えりゃ　デバッガーにまだ見つかってない場所ってことか | 但换个角度想 这不就意味着还没有调试员发现这里吗
EP04: ここなら | 这应该没人
EP04: 誰？ | 谁？
EP04: すまん　空き家だと思って | 抱歉 我以为是空房子呢
EP04: 旅の方ですか | 是旅行者吗
EP04: あれ　コイツバグってないな | 咦 这个人怎么没有BUG
EP04: もしよろしければ　英雄譚をお聞かせ願いませんか | 你愿意跟我讲讲英雄的故事吗
EP04: サブクエストは生成されてる？ | 生成支线任务了？
EP04: この世界には数多の物語があると聞きます | 我听说这个世界有着无数的故事
EP04: 旅人さん　足が悪く動けない私のために | 旅行者 我的双腿无法动弹
EP04: 何かお持ちでしたらぜひ | 有故事请务必讲给我听
EP04: こういうのはどうだ | 这种可以吗
EP04: NPCにマンガを読ませてもしょうがないよな | 估计NPC读不懂漫画吧
EP04: こんなに面白いもの　初めて読みました | 我还是第一次看到这么有趣的东西
EP04: 絵物語なんですね | 这是图画故事吧
EP04: ああ | 嗯
EP04: 続き　描けなくはないけど | 后续 我也可以接着画
EP04: 読みたいか | 你想看吗
EP04: もちろんです | 当然想
EP04: 楽しみにしていますね | 我迫不及待了
EP04: そうか | 好吧
EP04: んで　ここに隠まってもらう代わりにボロ屋を修理して | 就这样 我藏身在这里 作为回报帮她修理房子
EP04: あとは見てのとおりだ | 之后就如你们所见了
EP04: なるほど | 原来是这样
EP04: それからここでひたすらマンガを | 从那之后你就一直在这里专心画漫画
EP04: たぶん　アマノさんは僕と同じですね | 我想 天野先生其实跟我一样
EP04: 仕事に没頭することで　この世界で正気を保ってる | 通过埋头工作 让自己在这个世界里保持清醒
EP04: よせよ　俺はただマンガが好きなだけで | 才不是 我只是喜欢漫画而已
EP04: ところでハガはルゥの足を治せそうな薬のレシピとか知らねえか | 对了羽贺 你知道有什么能治好露腿的药方吗
EP04: いえ　申し訳ありません | 不知道 对不起
EP04: そうか | 好吧
EP04: 俺が作ってやれればいいんだけどよ | 要是我能做出那种药就好了
EP04: 足さえ治れば　ルゥだって好きな場所に行けるんだが | 只要治好腿 她就能去任何想去的地方了
EP04: アマノさん | 天野先生
EP04: この続きどうなるんですか　楽しみです | 这个故事后来怎么样了 等不及要看了
EP04: ここに入ったんだよな　行商人のおっさんの話じゃ | 听那旅行商人说 他们是跑这里来了吧
EP04: ええ　たぶん二人ともプチッと潰れてますよ | 是 估计两人都被踩扁了吧
EP04: ハガさん | 羽贺先生
EP04: クッソ　なんだよ | 可恶 发生什么了啊
EP04: 上の階にはルゥが | 露还在楼上
EP04: 離せ　離せバカ | 放开我 放开我笨蛋
EP04: ダメです | 不行
EP04: 静かに | 安静
EP04: あれ　おっかしいな　ここのはずなんだけどな | 奇怪了 应该就在这的啊
EP04: まあ　どっちでもいいよ | 算了 别管了
EP04: もう行こうや | 咱们走吧
EP04: はあ | 好
EP04: ドラゴンの操作にも慣れてきたぜ | 我也熟悉怎么操控龙了
EP04: なかなか楽しいな | 还挺有意思的
EP04: おら | 走了
EP04: じゃあ　皆さん復興頑張ってね | 拜拜 大家加油重建了
EP04: この前のデバッガーの声がします | 我听见之前那个调试员的声音了
EP04: 今はまだ外に出ちゃダメです | 现在还不能出去
EP04: わかってる | 我知道
EP04: けどそれどころじゃねえ | 但现在不是说这些的时候
EP04: また | 又来了
EP04: 無事でいてくれ　ルゥ | 一定要没事啊 露
EP04: 俺　上手くなってるよな | 我画得比以前好了吧
EP04: 今ならデビューできんじゃねえか | 现在应该都能以漫画家出道了吧
EP04: 今回もとっても面白かったです | 这次的故事也非常有趣
EP04: ダビデくん　大ピンチでどうなっちゃうんでしょう | 大卫陷入危机后会怎么做呢
EP04: 俺の作品をさ　こんなに喜んでくれるの　ルゥが初めてなんだ | 露是第一个对我的作品这么感兴趣的人
EP04: それで　なんかすげえやる気湧いてきて | 这让我感觉充满了干劲
EP04: 筆もスラスラ進むんだよ | 画起画来无比顺利
EP04: それはとてもいいことです | 那真是太好了
EP04: あのさ | 那个
EP04: 俺　ここでずっとマンガ描いて | 我想一直在这里画漫画
EP04: ルゥと暮らしていけたらなって…思ってるんだ | 一直在这里和露…一起生活
EP04: なんてね | 开玩笑的
EP04: 私も | 我也想
EP04: 私も　この先もずっと　アマノ様のマンガを最初に読む人でい続けたいです | 我也想今后能永远第一个读到天野大人的漫画
EP04: ルゥ | 露
EP04: ルゥ　ルゥ | 露 露
EP04: ア…アマノ様 | 天…天野大人
EP04: ルゥ | 露
EP04: ルゥさん | 露小姐
EP04: よーしルゥ　今出してやるからな | 没事的露 我马上救你出来
EP04: もう大丈夫だ | 已经没事了
EP04: すぐ元気になるポーション作ってやる | 我给你做能立刻恢复健康的药
EP04: 調合スキル鍛えてあっからな | 毕竟我有提升炼药技能
EP04: アマノ様　すみません | 天野大人 对不起
EP04: 原稿が… | 原稿都…
EP04: 気にすんな | 不用放心上
EP04: また描きゃいいんだ | 我再画就是了
EP04: 続き　いろいろ想像して楽しみにしていたんです | 我一直期待 想象着故事后续的发展
EP04: すぐ描くから心配すんなっ…て | 我很快就会画出来的不要担心…
EP04: 不思議　なんだか足が軽くて | 好奇怪 感觉我的脚好轻
EP04: 重たくないんです　全然 | 完全感受不到重量
EP04: 治ったのかな | 是治好了吗
EP04: これでやっと　一緒に外に…出られます | 这下终于 能一起…去外面了
EP04: ルゥ　ルゥ | 露 露
EP04: ルゥ | 露
EP04: ウソ | 不要
EP04: ウソ | 不要
EP04: ウソだ | 不要啊
EP04: ルゥ | 露
EP04: 聞いてくれ　あの続き | 你听我说 故事的后续
EP04: ある人物が主人公をスカウトに来るんだ | 会有人来挖主角墙角
EP04: 諦める流れだっただろ | 他当时不是快要放弃了吗
EP04: ある人物　気になるよな | 你很在意是谁吧
EP04: なあ | 是吧
EP04: おいハガ　ポーション | 喂 羽贺 给我药水
EP04: 早くしろ | 快点
EP04: おい　何とか言えよ | 喂 你说话啊
EP04: ルゥ | 露
EP04: ルゥ | 露
EP04: ルゥ | 露
EP04: 俺は　君の… | 我为了…
EP04: 君の　ために… | 为了你…
EP04: ハガさん　早くルゥさんに | 羽贺先生 快去救露小姐
EP04: ポーションで治せるケガじゃない | 那伤势不是药水能救回来的
EP04: これはもう　無理だ | 已经没办法了
EP04: この世界のNPCは普通の人間とそう変わらない | 这个世界的NPC和普通的人类并没有什么不同
EP04: だから… | 正因如此…
EP04: クソ | 可恶
EP04: NPCを殺すと指名手配のペナルティーがいくはず | 杀了NPC本应受罚被通缉的
EP04: いや　デバッグモードで解除… | 不对 他们会用调试模式解除…
EP04: できるんだっけか | 做得到吗
EP04: 違う　それよりもゴア表現に問題があるだろ | 不对 再说这血腥场景也得修改吧
EP04: あれもこれも報告しなきゃ | 全都得上报才行
EP04: ああ　どうすりゃいいんだ | 可恶 我该怎么办
EP04: ハガよ | 羽贺
EP04: テスラさん | 特斯拉小姐
EP04: 悪質なデバッガーを排除する必要性がよくわかったであろう | 想必你已了解消除恶劣调试员的重要性了
EP04: ヤツらを放置した結果がこのざまだ | 放任他们不管的结果就是如此
EP04: メタAIの力で彼女を生き返らせれば… | 要是你用元AI的力量让她复活…
EP04: 寝ぼけたことを抜かすな | 别说梦话了
EP04: この世界のNPCは一期一会 | 这个世界NPC的生命是独一无二的
EP04: 生と死のサイクルは現実世界と等しく回っておる | 生死轮回与现实世界并无二致
EP04: アマノさん　どこ行くんですか | 天野先生 你要去哪里
EP04: 決まってんだろ | 还用说吗
EP04: アイツらを殺しに行くんだよ | 我要去把那些家伙杀了
EP04: #什么是T型姿势？
EP04: #天野矶良
EP04: #通缉令
EP04: #再现　其他
EP04: #再现　其他　修复确认
EP04: #已修复 已修复
EP04: #发现BUG　报告　修复确认
EP04: #羽族=猫种
EP04: #被遗忘的村庄
EP04: #在联系贝伊鲁高原与王都的街道之外，星星点点分布着与世隔绝般「被遗忘的村庄」。只有极少数造访的交易商人会带来外界的消息。
EP04: #通缉
EP04: #对于违反王都法律的行为，会即刻派遣卫兵前往处理。即使是“王国探索者”也不例外。
EP04: #我不干了 调试石放这了
EP04: OUT

EP05: IN
EP05: たどり着いた村で僕たちはデバッガーのアマノさんと出会った | 在偶然撞见的村子里 我们遇到了调试员天野先生
EP05: マンガを描きながら　NPCのルゥさんと共にすごすアマノさん | 天野先生画着漫画和NPC露一同度日
EP05: 彼はサカイたちと同じアソビングの一員だったが | 他曾与酒井一伙一样是游戏ing的一员
EP05: 嫌気がさして逃げ出し　この村に隠れて暮らしていた | 无法忍受他们的行为而逃走 来到这座村子过着隐居生活
EP05: そこへ　僕たちを追って社長とサカイが現れ | 然而 社长和酒井追着我们来到这里
EP05: ルゥさんは… | 露小姐她…
EP05: アマノさん　どこ行くんですか | 天野先生 你要去哪里
EP05: 決まってんだろ | 还用说吗
EP05: アイツらを殺しに行くんだよ | 我要去把那些家伙杀了
EP05: 無茶です　あの人たちはデバッグモードを使いこなしてるんですよ | 太乱来了 那些家伙已经用惯了调试模式
EP05: 考えなしに行っても返り討ちに遭うだけです | 不考虑计策 反而会被他们杀掉
EP05: うるせえよ | 别啰嗦
EP05: ちょ…待って | 别…等一下
EP05: 邪魔すんな | 不要妨碍我
EP05: イタ… | 好痛…
EP05: 僕も協力しますから　話だけでも聞いてください | 我也会帮忙 请先听我说
EP05: テスラさんに言われた悪質なデバッガーの排除 | 特斯拉小姐让我除掉恶劣调试员
EP05: できる範囲でやるしかない | 只能尽力去做了
EP05: ルゥさんの魂は慈愛の神クラファへ届き | 露小姐的灵魂会抵达慈爱之神格拉法处
EP05: 約束の地へ導かれるのでしょうね | 并被引导至约定之地吧
EP05: NPCは神を信仰してるからそう思うのか | NPC信仰神明 所以会这么觉得吗
EP05: でも　ログアウトできない僕らがこのゲーム内で死んだらどうなるんだろう | 但是 无法登出的我们死在游戏中会怎样呢
EP05: 社長たちの足跡がはっきりしているうちに追いましょう | 趁社长他们的足迹还清晰 我们追上去吧
EP05: 今後の話は道中で… | 今后的计划路上再说…
EP05: しばらくそっとしておいたほうがいいかな | 应该暂时让他独自静静吧
EP05: それまで僕はデバッグを | 在那之前我就先做测试
EP05: アマノさん | 天野先生
EP05: これ　ルゥさんが着けていた首飾り | 这是露小姐戴过的项链
EP05: 家の中に落ちていました | 掉在家中了
EP05: すごく素敵な宝石ですね | 真是颗漂亮的宝石呢
EP05: これ　俺がルゥにあげたもんなんだ | 这是我给露的
EP05: 探してくれたのか　ありがとな | 你帮我找到的吗 谢谢你
EP05: 約束の地へは何も持っていけませんから | 去往约定之地无法携带任何东西
EP05: アマノさんが持っていてください | 今后就请天野先生带着它吧
EP05: さよなら | 再见
EP05: さよなら　ルゥ | 再见了 露
EP05: 待たせたな | 久等了
EP05: アマノさん | 天野先生
EP05: 俺のせいでモタモタしちまった | 是我磨蹭害你们久等了
EP05: すまん　さっさと行こう | 抱歉 我们快出发吧
EP05: はい | 好的
EP05: 社長たち　まっすぐベイル城へ帰ったみたいだな | 社长他们 似乎径直回贝伊鲁城了呢
EP05: この方向なら間違いないですね | 这个方向不会错的
EP05: よし　俺たちもベイル城へ行くぞ | 好 我们也朝贝伊鲁城出发
EP05: すみません　これアマノさんの分です | 抱歉 这是天野先生的
EP05: いらねえよ | 我才不要
EP05: いらないんですか | 你不要吗
EP05: そんなんしてたら何日かかると思ってんだ | 这样过去得花几天啊
EP05: でも慎重に行かないと | 但还是小心为妙
EP05: フェザーは目がいい　夜目も利く | 羽族视力很好 夜晚也能看清
EP05: 大丈夫だ | 没问题的
EP05: そうなんですか | 是这样吗
EP05: 大胆な方ですね | 真是个大胆的人呢
EP05: ねえ | 是啊
EP05: 頼りになるのかならんのか　わからんヤツらだな | 该说他们是靠谱还是不靠谱呢
EP05: なんか作戦とかあるのか | 有什么作战计划吗
EP05: 考えてる作戦はいくつかあるんですが　まだ決めかねてて | 考虑过几个方案 但还定不下来
EP05: まず情報収集からしないとですね | 得先收集情报
EP05: デバッガ―って何人いるんですか | 他们有多少名调试员呢
EP05: 俺が抜けたときは社長を入れて９人だったな | 我走的时候算上社长一共九个人
EP05: まあ　アホばっかりだ　問題ない | 不过净是些傻子 不成问题
EP05: とはいえ　こっちは３人 | 话虽如此 我们只有三个人
EP05: コイツも連れて行くのか | 还要带上她去吗
EP05: 大丈夫です　何でもやります | 不用担心 我什么都能做
EP05: 何にもできないヤツほど「何でもやります」って言うんだよ | 什么都不会的人才会说「我什么都能做」
EP05: 何もできない… | 什么都不会…
EP05: えっと　メタAIのテスラさんは彼女を通じて出てくるんで | 对了 元AI特斯拉会通过她显现
EP05: そういやそんなのがニコラの中にいるとか言ってたな | 说起来是有这么个东西在她身体里
EP05: はい | 是的
EP05: じゃあ　今出してみろよ | 那现在叫她出来吧
EP05: その何たらAIに何ができるのか聞けば　作戦の幅も広がるだろう | 问问那AI能做什么 也方便我们制定作战计划
EP05: いやまあ　そうなんですが | 话是这么说
EP05: 気まぐれに出現するんで | 她也是心血来潮才出现
EP05: はい　ニコラさん | 给 妮可拉小姐
EP05: 呼び出す方法がわかればいいんですけど | 要是知道怎么叫她出来就好了
EP05: まさか　飯食うと出るのか | 难道说只要吃饭就会出来吗
EP05: そんなことあります | 真的假的
EP05: おかわり | 再来一碗
EP05: はい | 好的
EP05: やっぱりテスラさんだ | 的确是特斯拉小姐
