EP01: IN
EP01: おっす | 早
EP04: 髪の毛　お店でやってもらった方がよかった | 早知道就去店里打理头发了
EP04: なんで　みんな　あんな小さい巾着に収まるの　天才 | 他们怎么把东西塞进这么小的包里的 天才吗
EP04: スポンジサンダルって　やっぱ邪道 | 穿凉鞋是不是太奇怪了
EP04: 汗ですでに化粧ドロドロかも | 化的妆都要被汗弄花了
EP04: 緊張する | 好紧张啊
EP04: 谷くん | 谷同学
EP04: お待たせ | 久等了
EP04: びっくりした | 惊到我了
EP04: えっと　変じゃない | 那个 不奇怪吧
EP04: 綺麗 | 很漂亮
EP04: いまだかつて「カワイイ」と言われることはギリあっても | 过去姑且还算有人夸过我可爱吧
EP04: 「綺麗」なんて言われたことがあっただろうか | 但是有人夸过我漂亮吗
EP04: それでは　お祭り騒ぎしましょか | 好啦 我们去祭典狠狠闹吧
EP04: 騒がないでいいでしょ | 没必要闹吧
EP04: 祭りの音と匂いがする | 真有祭典的感觉啊
EP04: ねっ | 确实
EP04: ざっと見てから　何買うか決めよっか | 先随便看看 再决定买些什么吧
EP04: 見たいのあったら言ってね | 要是有想看的就说哦
EP04: 鈴木さん　後ろ | 铃木同学 小心后面
EP04: すみません | 抱歉
EP04: いえいえ | 没事没事
EP04: 危ない　危ない | 好险好险
EP04: 人多いから　気をつけないとだね | 人太多了 得多加注意呢
EP04: そうだね | 是啊
EP04: なに | 怎么了
EP04: なんか　カップルみたい | 感觉就像情侣一样
EP04: ダメだ　めちゃくちゃ浮かれてしまう | 完啦 兴奋得不行
EP04: 毎日学校で顔合わせてるけど | 虽然每天都能在学校见面
EP04: だからこそ　この状況が楽しすぎる | 但正因为如此 现在才格外开心
EP04: でも | 可是
EP04: あんまり浮かれ過ぎるのはよくないよね | 开心过头也不好吧
EP04: おいしい | 好吃
EP04: なんて | 话虽如此
EP04: 全然無理だわ | 完全做不到嘛
EP04: こんなの | 这种情况
EP04: 浮かれない方が　無理じゃん | 不可能不开心吧
EP04: すごい | 太厉害了
EP04: いいの　１個　もらっちゃって | 可以吗 还送给我一个
EP04: というか　両方あげるけど | 我想两个都送你的
EP04: それはダメ | 这可不行
EP04: 手拭き類ご入り用だったら　なんなりとお申しつけくださいませ | 如果您需要擦手 请随时告诉我
EP04: 準備いいね | 准备充分呢
EP04: いろいろシミュレートしたからね | 我可是准备了不少呢
EP04: って　これ　言わない方がスマートだった | 是不是不说会显得我比较细心
EP04: ありがとう | 谢谢
EP04: 幸せ | 好幸福
EP04: タクちゃん | 小拓
EP04: なあに | 怎么了
EP04: えっぐいイチャつき方しとる | 这实在是过于腻歪了吧
EP04: えらいこっちゃ | 太夸张了
EP04: 浮かれの値がカンストすると　ああいうふうになってしまうのか | 原来兴奋值满了就会变成那样吗
EP04: ただ　何が怖いって | 不过 真正可怕的是
EP04: 気持ちが分からなくもない自分がいること | 我居然能明白这种感受
EP04: 彼氏がいないときはなんとなく | 男朋友不在身边还好
EP04: 自分は周りが見えなくなるほど浮かれないみたいな謎の自信を持ってたくせに | 那样我倒还有信心 不会过分喜形于色
EP04: 今日の私って　どんなんだったっけ | 今天的我是什么模样呢
EP04: どうしよう　なんか急にめちゃくちゃ恥ずかしくなってきた | 怎么办 突然开始羞耻得不行
EP04: 谷くん | 谷同学
EP04: もしかして　もう帰らないとやばい | 这个点 你必须回去了吗
EP04: 鈴木さん　少し歩ける | 铃木同学 你还能走吗
EP04: こっちの方　初めて来た | 我第一次来这边呢
EP04: どんどん上ってくけど　どこ連れていかれるんだろう | 越爬越高了 要带我去哪里呢
EP04: まさか　夜景 | 难道是 夜景
EP04: 着いたよ | 到了
EP04: 結構人いるね | 人还不少呢
EP04: 微妙 | 微妙
EP04: どうしよう　意図が分からないとリアクションしにくいぞ | 怎么办 不懂他的意图很难给出反应啊
EP04: ねえ　花火まだ | 烟花还没开始吗
EP04: もうすぐだから　待って | 很快就开始了 再等等
EP04: 行かなかった方の祭りの花火 | 没去成的祭典在放烟花
EP04: ここから見れたんだ | 居然能从这里看到
EP04: 遠いけどね | 不过很远呢
EP04: いい　全然いい | 没关系 完全没关系
EP04: 谷くん　ありがと | 谷同学 谢谢你
EP04: 花火　撮れるかな | 烟花 能拍下来吗
EP04: 遠いし　無理じゃない | 太远了 拍不到吧
EP04: ほんとだ | 确实
EP04: 肉眼に焼き付けるか | 只能饱饱眼福咯
EP04: 危なかっ | 好险
EP04: あっぶな | 好险
EP04: チュウしたかと思った | 差点就亲到了
EP04: いや　よくない | 不对 亲了不好吗
EP04: しても | 该亲吧
EP04: むしろ　全然したいが | 本来就想亲的啊
EP04: 鈴木さん | 铃木同学
EP04: 次は近くに行こうか | 下次我们离近些吧
EP04: 次…近く… | 下次…近些…
EP04: 何を | 和什么
EP04: 花火大会　来年もあるでしょ　あれ | 烟花大会 明年那边也有吧
EP04: 行こう　絶対 | 好啊 一定去
EP04: 谷くんの中の来年に　私いるんだ | 谷同学设想的明年有我在
EP04: お祭り　楽しかった | 祭典玩得开心吗
EP04: 完全に優勝した | 赢麻了
EP04: 何にだよ | 赢什么了
EP04: #注：韩式拌饭的意思
EP04: #注：电影中被附身者会身形扭曲
EP04: #注：原本是LUCKY STRIKE
EP04: #注：本田的一款小排量摩托
EP04: #注：阿基里斯悖论，将运动无限细分，阿基里斯跑得再快也追不上前方的乌龟
EP04: #注：干净和漂亮同音
EP04: #不了
EP04: #空调暖气齐全
EP04: #图书室
EP04: #意见箱
EP04: #韩式盖饭
EP04: #餐票 中份盖饭
EP04: #都行
EP04: #好吃
EP04: #香烟
EP04: #晚饭后想吃冰淇淋的季节
EP04: #想到一块了
EP04: #才注意到
EP04: #上完补习班回家…
EP04: #没有被笑话也会感到不安
EP04: #轻视
EP04: #奇怪
EP04: #慢慢看出来了
EP04: #等一下…
EP04: #要正确·安全地骑乘交通工具哦！
EP04: #全员成功回避补习
EP04: #小猫市告示板
EP04: #小猫市夏日祭
EP04: #兴奋
EP04: #已读
EP04: #我就快到了！
EP04: #我在雕像前
EP04: #知道了！
EP04: #紧张流汗
EP04: # 「漂亮」
EP04: #铃木真可爱
EP04: #哈哈哈好可爱
EP04: #被捉弄时
EP04: #这种情况倒是有过
EP04: #是吧？
EP04: #好干净
EP04: #…「像情侣」？
EP04: #周围全是陌生人
EP04: #两个人在外面
EP04: #比平时打扮得更认真
EP04: #重点
EP04: #刨冰
EP04: #糖浆无限加
EP04: #加了所有糖浆
EP04: #SuperBall
EP04: #捞到的球数
EP04: #无声的压力
EP04: #实用物品清单
EP04: #纸巾
EP04: #湿纸巾
EP04: #手帕·毛巾
EP04: #小风扇·扇子
EP04: #创可贴
EP04: OUT

EP05: IN
EP05: 教室には　いろんな人がいる | 教室里 有着形形色色的人
EP05: 人を笑顔にできる人 | 有能逗笑他人的人
EP05: その周りで盛り上げる人 | 有能炒热气氛的人
EP05: 私は… | 而我…
EP05: やっぱり　コンビでお笑い目指すなら | 要我说 想组搞笑组合的话
EP05: まずは交換日記からだろ | 得先从交换日记开始吧
EP05: いや　なんでそうなるん | 不是 为什么啊
EP05: 私は　楽しそうな人たちの横で笑いをこらえる人 | 而我只是在热闹的人群旁边憋笑的人
EP05: ダメだ　笑っちゃう | 不好 要笑出来了
EP05: おい　西さん　笑ってんじゃん | 喂 你把西同学逗笑了
EP05: マジで | 真的吗
EP05: そんな俺　変 | 我那么好笑吗
EP05: あるあるじゃない | 你一直都很好笑吧
EP05: ねえよ | 才没啦
EP05: いや　でもさあ… | 不过 我觉得…
EP05: いや　交換日記はないわ | 总之交换日记不行
EP05: まず　コンビの仲を深めなきゃいけねえ… | 第一步还是加深组合的情谊…
EP05: 速い　会話のテンポが速い | 不行 他们说话的节奏好快
EP05: えっと | 那个
EP05: ちょっと　西さん　困ってんじゃん | 喂 西同学很困扰啊
EP05: ごめん | 抱歉
EP05: いや　別に　そんな | 不 没事 没什么
EP05: 盛り下げてしまった | 我又扫兴了
EP05: びっくりした | 吓死我了
EP05: 急に　こっちに話を振らないで | 别突然把话茬抛给我啊
EP05: 参加したいわけじゃなく　聞いてるだけでいいんです | 我并不想加入话题 只要在一旁听听就好
EP05: けど　会話のおこぼれ聞いて　ニヤニヤしてたのはキモくてごめんなさい | 但我也知道边偷听别人聊天边傻笑很恶心 对不起
EP05: ほんと　ニッシ　人見知りするよね | 小西 你真的很怕生呢
EP05: ホンちゃん　どこ行ってたの | 小本你去哪了
EP05: 友達に教科書借りてきた | 我去找朋友借课本了
EP05: ニッシも緊張さえしなければ普通に話せるのにね | 你只要不紧张也能正常跟人说话的
EP05: だって… | 因为…
EP05: 相手の言葉を咀嚼するに１ステップ | 交流时首先要理解对方的话
EP05: それに　どう答えるか考えるに１ステップ | 接着又要思考该如何回答
EP05: 頭に浮かんだ内容を言葉にするのに１ステップ | 最后还要把脑海中浮现的内容用语言表达出来
EP05: 思考は頭の中にたくさん浮かんでるのに | 明明脑子里想了很多东西
EP05: いつもそれが言葉として上手に出てこない | 但我就是不能把它们转换成言语
EP05: 私にはハードルが高い | 这对我来说太难了
EP05: いや　めっちゃ饒舌 | 不 你超能说的
EP05: まあ　そんな気にすることないんじゃない | 不过 你也不用那么在意吧
EP05: さっきのは会話っていうより　ノリって感じだし | 刚才那样与其说是交流更像是闲聊
EP05: 分かってるんだけど | 这我也知道
EP05: 男の子相手だと　より緊張しちゃって | 但面对男孩子时我会更紧张
EP05: 女だって男だって　刺せば同じ色の血が出る人間だよ | 不论女孩男孩 被扎后流的血颜色都一样啦
EP05: 刺さないで | 不要扎我
EP05: ねえ　ホンちゃん　私最近気になる男の子がいるの | 其实小本 最近有个男生让我很在意
EP05: なに　急に | 这么突然
EP05: うっそ　誰　誰　誰 | 真的吗 谁啊谁啊
EP05: 隣のクラスの谷くん | 隔壁班的谷同学
EP05: 誰 | 谁啊
EP05: 図書委員の当番同じ人 | 跟你一起值班的图书委员吗
EP05: そう | 是的
EP05: あんまりしゃべらない人って言ってなかったっけ | 你不是说他不怎么爱说话吗
EP05: そう　あんまりしゃべるタイプじゃないの | 没错 他是不怎么爱说话
EP05: なのに | 但是
EP05: 暇だなあ | 好闲啊
EP05: なんか　意外な感じの子が来た | 来了个感觉挺意外的人
EP05: あれ　鈴木さん | 咦 铃木同学
EP05: 知り合い | 认识吗
EP05: あの二人　どう見てもただならぬ関係としか | 他们俩 不管怎么看关系都不寻常
EP05: 「気になる」って　そういうこと | 原来是这个在意啊
EP05: 谷くん　同類の人だと思ってたから　びっくりしちゃって | 我一直以为谷同学跟我是同类 所以很震惊
EP05: まあ　無口イコール人見知りではないよね | 毕竟不爱说话并不等于怕生嘛
EP05: ナチュラルに失礼なこと言うなあ | 很自然地说出了冒犯的话呢
EP05: それに | 而且
EP05: 関係匂わせだけじゃなく | 暗戳戳秀恩爱就算了
EP05: ヤンキーに慕われてたの | 不良少年还很崇拜他
EP05: おびえるわけでも　ノリを合わせるわけでもなく | 面对不良少年 他既不露怯 也不迎合
EP05: そのまま「やれやれ」みたいなテンションで　ヤンキーと会話してたの | 一副游刃有余的样子跟他说了好久的话
EP05: ラノベの主人公みたいだな | 说得跟轻小说主角一样
EP05: キレよくツッコミ返してて | 而且吐槽也很犀利
EP05: 私笑いこらえるのに必死だったもん | 我憋笑憋得可费劲了
EP05: また人の会話横から聞いてニヤニヤしてたんか | 你又在旁边偷听别人说话傻笑了
EP05: ニッシも交ざれるようになったらいいね | 你也加入他们不好吗
EP05: いや　参加したいわけでは | 我并没有想加入
EP05: とか言って | 可是啊
EP05: その谷くんが気になるってことは　羨ましいんじゃない | 你会在意谷同学 不就是因为羡慕他吗
EP05: 自分がなりたいポジションに近いっていうか | 羡慕他更接近你的理想状态
EP05: なるほど | 原来如此
EP05: そうなのかな | 是这样吗
EP05: そうなのかも | 可能是的
EP05: そうなんじゃない | 不就是这样吗
EP05: そうか | 这样啊
EP05: ずっと　人見知りを直したいとは思ってたけど | 我以为 自己只是想改掉怕生的毛病
EP05: 本当は　あのワイワイした空間に交ざりたかったんだ | 但我真正想要的 其实是融入那种热闹的氛围啊
EP05: いや　でも | 可是我
EP05: 「分かった」 | 「听懂了吗」
EP05: 「なるほど」 | 「原来如此」
EP05: 「完璧」 | 「全懂了」
EP05: 慕われている | 都很崇拜他
EP05: 「よし　谷　俺らと一緒に東大行こうぜ」 | 「好 谷 和我们一起去东大吧」
EP05: 「段階　飛ばし過ぎだよ」 | 「步子迈太大了吧」
EP05: バレた | 暴露了
EP05: どうしよう　今笑ってたのバレた | 怎么办 他发现我刚刚在偷笑了
EP05: めっちゃ　こっち見てる | 他还一直盯着我看
EP05: すみません　ごめんなさい | 对不起 我错了
EP05: 勝手に会話聞いて笑ってごめんなさい | 我不该偷听你们说话还偷笑
EP05: こっち見ないで　怖いです　すみません | 别看我了 我怕 对不起
EP05: 絶対無理だ | 说不出口
EP05: なんか　もうめちゃくちゃ怖かったもん | 实在太吓人了
EP05: 「何お前が笑ってんの　ていうか　誰」とか思われてそう | 他肯定在想「你是谁啊 为什么在笑」
EP05: まあ　実際そのとおりなんだけど | 虽然他这样想也没有错
EP05: 本当にすみませんでした | 真的很对不起
EP05: ニッシ　ご飯食べよう | 小西 我们去吃饭吧
EP05: ニッシ　どうした | 小西 你怎么了
EP05: いろいろ考えた結果 | 我想了想还是觉得
EP05: 高望みせず　身の程をわきまえようと思って | 不要抱太高期望 掂量清楚自己吧
EP05: どうしてそうなった | 怎么想到这一步的
EP05: 本田 | 本田
EP05: あっ　山田 | 山田
EP05: どうも | 你好
EP05: はい | 好
EP05: 変な返事しちゃった | 什么奇怪的回复
EP05: 本田　教科書次使うから　返して | 本田 我要用教材了 还给我
EP05: ごめん　あとで返しに行こうと思ってた | 抱歉 我想着待会过去还你的
EP05: ありがとね | 谢了
EP05: っていうか　ホンちゃん　まさかの知り合い | 话说 这人居然和小本认识吗
EP05: それ　集めてんの | 你在集这个吗
EP05: 俺　前に集めてたけど | 我之前也集过
EP05: すんげえノルマきついぜ　それ | 这玩意很费劲啊
EP05: エブリデイ　パン | 每天都吃面包
EP05: そうですか | 这样啊
EP05: 何に応募したの | 你要换什么奖品
EP05: イエティクッション | 雪人坐垫
EP05: 似合わなっ | 跟你不搭啊
EP05: いや　欲しいだろ　あれは | 我就是想要嘛
EP05: どうしよう　面白い | 怎么办 好有趣
EP05: じゃ　山田の部屋　今イエティいるの | 那你的房间里现在有雪人吗
EP05: はい | 有啊
EP05: 人の趣味を笑って　すみません | 抱歉 我不该取笑别人的爱好
EP05: ちょっと　山田 | 喂 山田
EP05: 教室でオニヤンマが暴れてる　捕獲して | 教室里有蜻蜓到处飞 去把它抓住
EP05: そんな理由で呼ばれることあんの | 就为这事来叫我吗
EP05: 早く　早く | 快点快点
EP05: じゃあな | 走咯
EP05: バイバイ | 拜拜
EP05: あの子… | 那个女生…
EP05: お取り込み中　すまんな | 抱歉打扰你聊天了
EP05: はい　これ | 来 拿着
EP05: すまない気持ちがあるなら呼ぶなよな | 你要是感到抱歉就别叫我啊
EP05: っていうか　今一緒にいた子かわいいね | 话说 刚才和你一起的女生好可爱
EP05: お人形さんみたい　いいな | 像娃娃一样 真好啊
EP05: かわいい | 很可爱
EP05: そういうの素直に言える男はモテるわよ | 这样说直话的男生很受欢迎哦
EP05: マジで　やった | 真的吗 太好了
EP05: その調子で　捕獲頼むよ | 那就一鼓作气 去抓蜻蜓吧
EP05: なんか　俺乗せられてね | 感觉我被你忽悠了
EP05: ヤンキーって　山田のことだったの | 你说的不良少年原来是山田啊
EP05: 前クラス一緒だったけど　不良でもなんでもないよ　あいつ | 之前我们一个班 他不是什么不良啦
EP05: そうなの　ほんとに | 这样啊 真的吗
EP05: 不良は学校で虫捕り任されないでしょ | 没人会找不良在学校抓虫子吧
EP05: 確かに | 确实
EP05: 彼の名は山田 | 他叫山田
EP05: 山田の自己分析力が乏しいため | 由于山田的自我分析能力太差
EP05: イエティ解説でお送りします | 因此由雪人来负责说明
EP05: 彼にはとある習性があった | 他有一个习惯
EP05: それは… | 那就是…
EP05: もう　ほんと男子たちバカ | 真是的 男生怎么都这么傻
EP05: そろそろ　先生来るよ | 老师快来了哦
EP05: 意外な人の笑顔にものすごく惹かれてしまうこと | 容易被意料之外的人露出的笑容吸引
EP05: 自分とキャラが遠い人であるほど | 越是性格不同的人 越是如此
EP05: やめろ　やめろ　お前… | 别这样 别这样 你小子…
EP05: 笑った | 她笑了
EP05: ふとした瞬間に見えた心の共通点にうれしくなってしまい | 不经意间流露出的内心共通点就能让他无比开心
EP05: ものすごく気になりはじめてしまうのだ | 他会因此会变得非常在意对方
EP05: しかし　本人自身はあまりそのことに自覚がないので | 不过他自己却没怎么意识到这点
EP05: 図書室で | 在图书室
EP05: 「段階　飛ばし過ぎだよ」 | 「步子迈太大了吧」
EP05: 「クソ客みたいなこと言うとる」 | 「你这也太像烦人的顾客了」
EP05: 教室で | 在教室
EP05: になる頃には | 每当这种时候
EP05: かわいい | 很可爱
EP05: 「なんでか分かんないけどかわいい」の状態になっていた | 就会变成「不知为何但总觉得对方好可爱」的状态
EP05: なんでか分かんないけど | 虽然不知道为什么
EP05: 最近よく　この人が教室に来る | 最近这人经常来我们教室
EP05: なぜ | 为什么
EP05: 盛り上がってる | 聊得好起劲
EP05: ホンちゃん　すごく楽しそう | 小本看起来好开心
EP05: 西さんは音楽何聴く | 西同学都听什么音乐
EP05: あんまり詳しくなくて | 我也不是很清楚
EP05: えっと　昔の曲ばっかかも | 那个 可能都是些老歌
EP05: でも　あんまり… | 不过 我不太…
EP05: 話が広がらなくてごめんなさい | 没接住话题 真的很抱歉
EP05: 山田くん　気を遣って私にも話題を振ってくれるけど | 虽然山田同学有顾虑我 主动给我抛话
EP05: ただただ　私の会話の下手さが浮き彫りになって　すごくつらい | 可这只会显得我不会聊天 我好难受
EP05: 大丈夫だ　ニッシ　頑張れ | 没事 小西 加油啊
EP05: 山田は基本的に裏の顔がない | 山田基本是表里如一
EP05: ニッシの練習台にきっとちょうどいい | 肯定正适合做小西的练习对象
EP05: のはいいとして | 这点是没错
EP05: 山田　お前… | 山田 你…
EP05: ニッシ狙いなの分かりやすすぎだろ | 谁都能看出是冲着小西来的吧
EP05: 接点ないのにいきなり話しかけたら　変な感じになるから | 跟没什么交集的人突然搭话 担心气氛变尴尬
EP05: 一旦　私挟んでるやつじゃん | 于是先拿我来过渡一下
EP05: 分かりやすすぎて | 太好懂了
EP05: めちゃくちゃ面白いのに　気付いてない風に接してあげる | 虽然很有趣 但我还要装作没发现
EP05: こっちの身にもなってくれ | 也体谅一下我啊
EP05: 西さん　これあげる | 西同学 给你这个
EP05: ありがと | 谢谢
EP05: あと　毎回それやめろ | 还有 别每次都这样
EP05: ニッシの好きなものの情報がなさすぎるせいで | 因为实在不知道小西喜欢什么
EP05: パンシールばっか持ってくるんじゃない | 就老送面包贴纸
EP05: 一回おいしいって言ったものを大好物だと勘違いして | 说过一次好吃就误以为是最爱的东西
EP05: 毎回買ってくる　うちのおじいちゃんみたいになってるから | 每次都给她买 搞得像我爷爷一样
EP05: ほら　もう　ニッシ | 看吧 小西都这样了
EP05: どうしよう | 怎么办
EP05: 「どうせならシール付いてる方がいいし」 | 「反正要吃就买能集贴纸的吧」
EP05: 「期間内に集まらなくてもまあ　いいや」 | 「期限时间内没集满也无所谓」
EP05: 程度の気持ちだったなんて　今更　言えない | 这种想法 事到如今说不出口了
EP05: って顔してるから | 表情还不明显吗
EP05: じゃあな | 再见咯
EP05: 仲いいね | 你们关系真好
EP05: 二人のやり取り聞いてるの楽しい | 听你们俩互动好有趣
EP05: ニッシ　ちゃうねんわ | 小西 不是这样的
EP05: けど　仲よくなるのには時間かかりそうだな | 不过 要他们关系变好还得花不少时间
EP05: 夏休みは　たくさん時間がありますが | 虽然暑假的时间很长
EP05: 油断していると　あっという間に時間は過ぎてゆくものです | 但如果不做安排 时间转眼就会流逝
EP05: ですから　この機会にふだんできなかったことなど | 所以要趁此机会 去做平常没机会做的事
EP05: 有意義に時間を活用し　大いに楽しんでください | 有意义地利用时间 尽情享受假期吧
EP05: そもそも… | 毕竟…
EP05: 夏休み… | 暑假…
EP05: 話がなっがい | 讲了好久
EP05: 絶対もっと文章縮められたよな　谷 | 他的讲稿也太多废话了 对吧谷
EP05: 何回か言ってること重複してたね | 他好几个地方都重复说了
EP05: いや　谷結構言うじゃん　ウケる | 谷 你挺会说的嘛 笑死
EP05: こちとら　もう　心は夏休みなんだよ | 我们的心早就开始放暑假了
EP05: 鈴木　彼氏できても　夏休み遊んでくれんの | 铃木 你有了男朋友 暑假还会跟我们玩吗
EP05: 当たり前じゃん | 当然会
EP05: どこ行く　何する | 去哪 玩什么
EP05: あのさ | 那个
EP05: 連絡先聞きたい人がいるときって　どうやって聞く | 想找人要联系方式时  应该怎么做
EP05: 何　何 | 什么 什么
EP05: おいおい　マジか | 喂喂 不会吧
EP05: そういう甘酸っぱい話　私大好き | 我就喜欢这种酸甜的恋爱话题
EP05: 山田　春なの　夏なのに | 山田 你的春天来了吗 虽然夏天了
EP05: 応援しちゃうか | 要我们支持你吗
EP05: えっとね　私だったら | 想想 如果是我
EP05: その場のノリのどさくさで写真を撮って | 就趁着气氛到位时拍一张照
EP05: 「あとで送るから　連絡先教えて」って言うかな | 跟对方说「给个联系方式 我待会儿发你」
EP05: そうだったの | 是这样吗
EP05: 寝たふりすんな | 不要装睡
EP05: 「鈴木さん　あのときから僕のことを…」 | 「铃木同学 从那时开始你就喜欢…」
EP05: 勝手にアテレコして怒らないでよ | 别擅自配音又惹自己生气
EP05: ゲームとかアプリの招待を口実にするのは | 用游戏或软件邀请当借口怎么样
EP05: 私は誰もいなくなったトークルームとかに送ってるけど | 虽说我一般都发到没人的群聊里
EP05: じゃあ何で俺に送ってくんだよ | 那消息怎么跑我这来了
EP05: なんかもうたいらだしいいかな…って | 我想着平就无所谓了嘛
EP05: 虚無扱い | 我不算数啊
EP05: っていうか | 话说回来
EP05: 親しくなかったら　いきなり連絡先聞かれんの怖くね | 突然被不熟的人问联系方式 不可怕吗
EP05: だって　全く知らねえヤツが知らない間に | 毕竟 要是有个人不知从何时起
EP05: なぜか自分に好意持ってんの怖すぎるだろ | 莫名喜欢上自己也太可怕了吧
EP05: まず　どこを見てってならねえ | 对方究竟看上我哪一点了
EP05: 信じられなさすぎる | 实在是难以相信
EP05: お前はもっと今の自分に自信を持て | 你要对现在的自己多一点自信
EP05: なんていうか　違うんだよな | 怎么说呢 好像不是一回事
EP05: 俺　別にその人のこと　好きではないと思う | 我算不上喜欢那个人
EP05: っていうか　なんも知らん | 不如说 我一点都不了解她
EP05: けど　なんか知りたくなってるから　なんつの | 但是 我是想要了解她 还是怎么说呢
EP05: 好きになりにいってるんかも　今 | 也许我会逐渐喜欢上她
EP05: いきな | 上吧
EP05: どんどん　いっちまえ | 向前冲吧
EP05: すっきりした | 舒服了
EP05: なに　なに　何盛り上がってんの | 你们这怎么这么热闹
EP05: まぶしいな　おい | 真耀眼啊
EP05: 砂？ | 沙子？
EP05: やあ　夏休み突入 | 耶 进入暑假了
EP05: ねえ　ニッシ | 我说 小西
EP05: 夏休みに　推しのコラボカフェが… | 暑假我偶像的联动咖啡馆…
EP05: やっぱり来たな　山田 | 果然来了 山田
EP05: 頑張れ　山田 | 加油 山田
EP05: １学期最終日 | 第一学期最后一天
EP05: 今度はどんな回りくどい手を使ってくる | 这次又会使出怎样拐弯抹角的手段
EP05: 西さん | 西同学
EP05: 俺　西さんと仲よくなりたいんだけど | 我想和你交朋友
EP05: けど　もう夏休み入るから | 但已经要放暑假了
EP05: 友達になって | 能加个好友吗
EP05: 私… | 我…
EP05: 急に　ど直球 | 突然这么直接
EP05: えっと… | 这个…
EP05: どうしよう | 怎么办
EP05: でも　目を合わせてしゃべるより　文でやり取りする方が緊張しないかも | 但比起面对面说话 打字交流应该更不容易紧张
EP05: あの　では　よろしくお願いします | 那就 请多多关照
EP05: やった | 好耶
EP05: あの　私あんまり　粋な返しやツッコミなどはできませんが | 那个 和我聊天不怎么有趣 我也不会吐槽
EP05: いや　別に漫才コンビ組むんじゃないんだから | 没事 我们又不是要去讲相声
EP05: 確かに | 确实
EP05: けどさ　好きになりにいってるって気付いて進んでる時点で | 但是 意识到自己会喜欢上对方 愿意主动推进关系时
EP05: もう　それ好きだよな | 就已经喜欢上了吧
EP05: 好きの定義ってなんだろうね | 喜欢的定义是什么呢
EP05: なん　哲学 | 在聊哲学吗
EP05: 谷の好きはどこから | 谷是怎么喜欢上她的
EP05: 私も気になる | 我也想问
EP05: 教えない | 不告诉你们
EP05: ちょっと　遊び過ぎ | 有点玩过头了
EP05: もしもし　谷くん | 喂 谷同学
EP05: 今　大丈夫 | 现在方便吗
EP05: うん　大丈夫 | 嗯 你说吧
EP05: 明日　暇　一緒に課題しない | 明天有空吗 要一起写作业吗
EP05: いいけど | 可以
EP05: なんで　小声 | 怎么这么小声
EP05: いや | 这个嘛
EP05: 今　隣の部屋に兄ちゃんがいるもんで | 我哥在隔壁的房间
EP05: さすがに兄ちゃんには恋愛事情を知られたくない | 实在是不想让我哥知道我在谈恋爱
EP05: ってことで　明日図書館集合で | 那就明天在图书馆汇合
EP05: 分かった | 知道了
EP05: じゃあ　また明日ね | 明天见
EP05: うん　おやすみ | 嗯 晚安
EP05: おやすみ | 晚安
EP05: あれ　今日　塾あったっけ | 咦 今天要上补习班吗
EP05: いや | 不是
EP05: 図書館　行ってくる | 我去趟图书馆
EP05: そう | 是吗
EP05: 鍵　持って出てね | 记得带钥匙
EP05: このあと　うち　誰もいなくなるから | 过会家里就没人了
EP05: うん　持ってる | 嗯 我带着呢
EP05: 「図書館に行く」 | 「去图书馆」
EP05: まあ　うそは言ってないけど | 没问题吧 我也没说谎
EP05: 谷くん | 谷同学
EP05: 先に来て　席取っとこうと思ったのに | 我还想着来早一点占座位
EP05: 同着だったか | 没想到同时到
EP05: いいよ　そこまでしないで | 没事的 不用那么麻烦
EP05: あら | 咦
EP05: あらら | 不是吧
EP05: どうしよう　どこも席空いてない | 怎么办 一个座位都没有
EP05: 待つのもなあ | 等也不是个事
EP05: 長居してもよさそうなカフェとか探す | 要不找家能待久点的咖啡馆吧
EP05: この辺　あったかな | 不知道附近有没有
EP05: ちょっと　マップ探してみるね | 我在地图上找找
EP05: この辺　なんもないな | 这附近什么都没有啊
EP05: 鈴木さん | 铃木同学
EP05: うち来る | 去我家吧
EP05: いいの | 可以吗
EP05: そう遠くないし　炎天下で店探しするよりは | 反正也不远 总比大热天的四处找店好
EP05: 家　家 | 家 他家
EP05: ってことは　ご家族も | 那他家人也在吗
EP05: 今は　家　誰もいないし | 这会我家没人
EP05: 誰もいないから　鈴木さんも気を遣わないで済むだろうし | 没人的话 铃木同学应该可以自在一些吧
EP05: 家に誰もいない | 家里没人
EP05: ご案内お願いします | 请带路吧
EP05: ですよね | 也是啊
EP05: けど | 不过
EP05: 心地いいな | 真安心啊
EP05: ああ　いや… | 没 这是…
EP05: お昼にする | 吃午饭吗
EP05: 違うの　これは… | 没有 我只是…
EP05: ねえ　谷くんって | 我说 谷同学
EP05: つきあってる人がいるとか　家族に言う派 | 你会和家里人说自己有对象吗
EP05: 言ってない | 我没说
EP05: 自分の話　そんなにしないし | 我不怎么讲自己的事
EP05: ぽいね | 真像你呢
EP05: どうしたの　急に | 怎么突然问这个
EP05: いや　家上がって大丈夫だったかなって　今更思って | 我现在才想到贸然拜访会不会麻烦你们
EP05: 連れてきたのは僕だから　鈴木さんが気にすることじゃないよ | 是我带你来的 你不用在意
EP05: 鈴木さんがその方がいいなら　ちゃんと話すけど | 你觉得说出来比较好的话 我会和他们说的
EP05: いやいやいや　それは私基準じゃなくていいよ | 不不不 不用按着我说的来
